budget,popularity,revenue,runtime,vote_count,vote_average,Threshold
0,0.053755,0,85,1,5,1
0,0.077577,0,110,1,5,1
0,0.048726,0,93,1,5,1
200000000,51.872839,219851172,114,2487,5.1,1
170000000,40.748915,222104681,106,1020,5.1,1
150000000,26.710398,292817841,88,510,5.1,1
85000000,9.895061,183611771,100,313,5.1,1
80000000,9.357734,53825515,112,165,5.1,1
70000000,46.832372,17752940,133,826,5.1,1
65000000,6.80692,36850101,94,80,5.1,1
0,16.930969,141702264,78,464,5.1,1
58000000,14.403696,85280250,103,276,5.1,1
55000000,8.802525,33828318,118,188,5.1,1
50000000,15.98212,110803676,104,316,5.1,1
52000000,15.20707,0,104,278,5.1,1
0,5.952527,47231070,93,109,5.1,1
50000000,12.050755,66002004,101,542,5.1,1
40000000,16.282962,23937870,93,213,5.1,1
0,15.913783,0,95,287,5.1,1
45000000,14.513243,30353232,101,300,5.1,1
35000000,11.195593,19294901,97,167,5.1,1
35000000,16.830184,2106557,96,344,5.1,1
33000000,19.642328,62022014,105,497,5.1,1
30000000,8.058109,93772522,102,123,5.1,1
45000000,7.185212,0,94,66,5.1,1
37000000,11.374306,37962774,110,221,5.1,1
30000000,10.756266,15007991,97,202,5.1,1
45000000,4.340616,124914842,95,377,5.1,1
0,5.079017,0,95,14,5.1,1
65000000,20.793026,40002112,100,374,5.1,1
25000000,8.842722,6399,99,73,5.1,1
21000000,10.207065,42000000,96,184,5.1,1
21000000,4.781538,17762705,104,76,5.1,1
40000000,4.100942,28972508,89,44,5.1,1
18000000,14.15192,0,102,197,5.1,1
0,10.149569,0,98,64,5.1,1
0,2.637355,0,107,36,5.1,1
15000000,12.929525,39421467,105,267,5.1,1
15000000,7.424798,29331068,89,221,5.1,1
0,2.711955,0,121,17,5.1,1
0,4.04701,0,81,83,5.1,1
0,10.131123,0,84,163,5.1,1
0,4.093288,0,91,75,5.1,1
11000000,9.705589,2807854,98,153,5.1,1
10000000,14.038512,6110000,90,179,5.1,1
10000000,5.145655,17472,111,83,5.1,1
10000000,10.073144,0,94,74,5.1,1
0,0.843067,0,185,6,5.1,1
8500000,2.62082,5001655,104,107,5.1,1
8000000,6.500835,53086,112,41,5.1,1
7000000,5.33861,12400000,76,47,5.1,1
0,3.810943,0,88,24,5.1,1
6500000,11.885221,13368437,88,128,5.1,1
11000000,16.856231,34872033,89,272,5.1,1
3300000,20.304235,64110728,83,505,5.1,1
0,1.631993,0,87,8,5.1,1
2800000,15.754614,1826705,102,366,5.1,1
2200000,12.639469,21930418,92,196,5.1,1
0,2.122451,0,77,36,5.1,1
1500000,14.504326,1165882,101,242,5.1,1
0,0.59458,0,84,8,5.1,1
200000,0.622752,2200000,66,27,5.1,1
60000,0.412342,0,93,6,5.1,1
176000003,85.36908,183987723,124,2768,5.2,1
145000000,60.034162,401128639,112,1387,5.2,1
110000000,46.834704,228738393,114,1712,5.2,1
120000000,33.616115,259175788,106,914,5.2,1
100000000,48.205606,336529144,121,1498,5.2,1
95000000,63.628459,114178613,102,957,5.2,1
